1.380519525629973223e-04 3.803780908941704550e-04 7.925589011691839365e-04 1.511038344381281009e-03
1.856623095750914855e-04 2.507296427372789904e-01 4.611101883891933539e+00 3.347251751916248759e+04
1.286086752211262983e-04 3.433963605578141723e-04 7.333182731079234849e-04 2.619256000053876016e-02
1.280337317599249786e-04 3.235300835659646280e-04 6.290940608846874466e-04 1.087558282011887555e-03
1.269222617073053380e-04 3.220779049799143436e-04 6.164551019441020510e-04 1.065664887407741495e-03
1.273164470403775742e-04 3.226637561005933196e-04 6.279944645116022428e-04 1.026727886015760391e-03
1.272976078547078500e-04 3.270710358751738301e-04 6.125656675231652432e-04 1.060530884445743272e-03
1.283626739635985276e-04 3.192386487321747590e-04 6.261818069870023554e-04 1.078887640281023675e-03
1.263798692790587055e-04 3.255532357302804748e-04 6.375032803764075140e-04 1.119070302093935374e-03
1.276352689103743489e-04 3.276253819997358881e-04 6.540179592746751119e-04 1.128494064030102035e-03
1.280816897409735875e-04 3.348682202476140307e-04 6.552679217777973878e-04 1.142566306202634019e-03
1.290917378102175044e-04 3.321175566062133143e-04 6.674804322245539174e-04 1.156279690602853840e-03
1.278605864622964358e-04 3.383607343775333460e-04 6.635406414471884491e-04 1.169218858551632212e-03
